CO2_in,CO_in,H2_in,Af,A1,A2,w,phi,N2,objective1,objective2
0.08954868288329404,0.32684451360449374,0.33360680351221234,0.0,0.0,0.0,0.005,0.0,0.25,345.4547410422601,0.020592606426432517
0.0882943603795832,0.3190490505840955,0.34265658903632135,0.0,0.0,0.0,0.005,0.0,0.25,345.3034804397112,0.021040887135543262
0.0870258351493667,0.3113021616614117,0.3516720031892216,0.0,0.0,0.0,0.005,0.0,0.25,344.8552528821481,0.02148917784396699
0.08574411376199711,0.30361051572620334,0.3606453705117995,0.0,0.0,0.0,0.005,0.0,0.25,344.118536652821,0.021937468552542114
0.0844501525342203,0.29598017039557256,0.36956967707020716,0.0,0.0,0.0,0.005,0.0,0.25,343.10193565885055,0.02238575926115499
0.08314488302260842,0.28841673892671876,0.3784383780506729,0.0,0.0,0.0,0.005,0.0,0.25,341.8141289547187,0.022834049969783034
0.08182921008866981,0.2809253879785843,0.3872454019327458,0.0,0.0,0.0,0.005,0.0,0.25,340.2638244631773,0.0232823406784186
0.08050401030896806,0.2735108400463027,0.3959851496447292,0.0,0.0,0.0,0.005,0.0,0.25,338.4597170423461,0.023730631387058512
0.07917013072016552,0.266177379973586,0.4046524893062486,0.0,0.0,0.0,0.005,0.0,0.25,336.4104509431337,0.024178922095701133
0.07782838788276877,0.25892886495216577,0.4132427471650654,0.0,0.0,0.0,0.005,0.0,0.25,334.12458661240987,0.02462721280434551
0.07647956724295958,0.2517687374368853,0.4217516953201551,0.0,0.0,0.0,0.005,0.0,0.25,331.6105717249733,0.02507550351299116
0.0751244227689536,0.24470004043598065,0.43017553679506576,0.0,0.0,0.0,0.005,0.0,0.25,328.87671627061366,0.025523794221637745
0.07376367683662262,0.23772543467528723,0.43851088848809017,0.0,0.0,0.0,0.005,0.0,0.25,325.9311714803305,0.025972084930284984
0.07239802033845383,0.2308472171798256,0.44675476248172064,0.0,0.0,0.0,0.005,0.0,0.25,322.78191234656316,0.026420375638932767
0.07102811299011048,0.22406734086402316,0.4549045461458664,0.0,0.0,0.0,0.005,0.0,0.25,319.4367234745535,0.026868666347580946
0.06965458380973029,0.21738743477077732,0.4629579814194925,0.0,0.0,0.0,0.005,0.0,0.25,315.90318799399773,0.02731695705622948
0.0682780317464957,0.2108088246480464,0.47091314360545794,0.0,0.0,0.0,0.005,0.0,0.25,312.1886792603727,0.027765247764878254
0.06689902643681159,0.20433255359852007,0.47876841996466835,0.0,0.0,0.0,0.005,0.0,0.25,308.3003550822644,0.02821353847352725
0.06551810906851298,0.19795940258226494,0.48652248834922207,0.0,0.0,0.0,0.005,0.0,0.25,304.2451542233053,0.02866182918217643
0.06413579333582596,0.1916899105935568,0.49417429607061725,0.0,0.0,0.0,0.005,0.0,0.25,300.02979494383936,0.02911011989082572
0.06275256647024828,0.18552439437104606,0.5017230391587055,0.0,0.0,0.0,0.005,0.0,0.25,295.66077536720826,0.029558410599475244
0.06136889033507153,0.17946296753489585,0.5091681421300326,0.0,0.0,0.0,0.005,0.0,0.25,291.1443754778242,0.03000670130812472
0.05998520257390566,0.17350555907561047,0.5165092383504839,0.0,0.0,0.0,0.005,0.0,0.25,286.4866605824476,0.03045499201677444
