Objective 2 (X),Objective 1 (Y)
0.5156169332050283,485.84608313086875
0.521264644335487,485.8789152275264
0.5264083001115032,485.84608313086875
0.5318215797732184,484.9529082346952
0.5377876966719307,484.46379180286647
0.5431983328999451,482.94311265681284
0.548621103117506,481.44329896907215
0.5539896998064199,479.9434852813315
0.5593924860111911,478.93158388003746
0.5653831651659804,477.49789275756984
0.5707762705498252,474.18022605887467
0.576199040767386,471.64948453608247
0.5818755122484291,468.2239331854365
0.5875628412932304,464.90187554341077
0.5926858513189448,460.82474226804123
0.5986410871302957,455.62011871290224
0.6046284444836769,450.09170830434505
0.6094617163412127,445.34855179185075
0.6157253465520267,436.5256474729696
0.6214322809268509,428.5869065598529
0.6268132663680376,419.3444855086559
0.6319437307297019,404.13598429062347
0.6373230331397532,383.0362687864862
0.6433053557154276,355.20462355513905
0.6490138658304125,323.45360824742266
