CO2_in,CO_in,H2_in,Af,A1,A2,w,phi,N2,objective1,objective2
0.07857712426195587,0.28122319399283263,0.2876028203597876,0.4235078721959209,0.43126756616250306,0.34396914920113386,0.40078731362972914,0.9303603901922723,0.3525968613854239,288.60644420856204,0.022686581782361458
0.07776347443718817,0.2765630803169729,0.2930234701976296,0.42513959472280916,0.4363524498840887,0.3422061142278646,0.4045660647070063,0.9303299918450936,0.3526499750482093,288.5387341230005,0.02307742597952074
0.07694734142229674,0.2719453931989083,0.298403816740858,0.42671491103890036,0.44161448109746265,0.3404985807997111,0.40826729403671363,0.930299502128313,0.35270344863793696,288.3385423992474,0.023468280176470888
0.07612932014204106,0.2673724634952104,0.3037410790345515,0.4282358786173689,0.4470540530047781,0.33884486185802654,0.41189174214505125,0.9302689648089767,0.3527571373281972,288.0103189232016,0.023859134373472528
0.07530997324948371,0.2628463562185683,0.30903275265593144,0.42970471003541144,0.452671417660663,0.3372430575921449,0.4154407365694886,0.930238424475185,0.35281091787601654,287.55854578800574,0.024249988570482092
0.07469939803734428,0.24552060310287255,0.3136314457785705,0.4355063923879542,0.5291509513226313,0.3548217236089286,0.26841659002532,0.7693837805915947,0.3661485530812128,287.62806282615617,0.024640842767498637
0.07387449152298156,0.24111134205586413,0.31883974637761153,0.4367250716520056,0.536815175714024,0.35347151621615663,0.2702212082656934,0.7694107908084961,0.3661744200435428,286.93797506420105,0.025031696964516643
0.07323064498546793,0.2440726889144702,0.32360949629729463,0.43416244998671677,0.5056573902249006,0.34369693289084463,0.3358549913808559,0.8503324191546556,0.3590871698027673,286.53303420410936,0.02542255116152844
0.07241458436419217,0.23977440612127404,0.3286866656725806,0.4353649987401639,0.5127837014696098,0.3423672318428361,0.33821866446293036,0.8503382059735604,0.35912434384195324,285.658169675104,0.025813405358549656
0.07159965293137985,0.23552997128669934,0.3337086981884291,0.436541268598512,0.5200896972872465,0.34106286697774657,0.3405430543111005,0.8503450396667482,0.35916167759349166,284.68161628910417,0.026204259555567464
0.07078632081664112,0.23134054037300344,0.33867395699656905,0.4376936043765507,0.5275738417438172,0.33978144665972004,0.3428300834424339,0.8503529504244632,0.35919918181378646,283.6077325514623,0.02659511375258749
0.06997504388448994,0.22720714180552148,0.34358093882804097,0.43882432466398785,0.5352343845328522,0.33852057794066265,0.34508173475745335,0.8503619686479522,0.3592368754819476,282.4408348386523,0.02698596794960974
0.06916626362166536,0.22313068016159612,0.3484282711225628,0.43993571315845703,0.5430693660172154,0.33727787766287237,0.3473000346124137,0.8503721248763872,0.35927478509417554,281.1851900472935,0.027376822146626366
0.06836040706795028,0.2191119401296792,0.35321470881879447,0.4410300108351007,0.5510766224413931,0.3360509826463797,0.3494870369659334,0.8503834496927879,0.3593129439835761,279.8450088937246,0.02776767634364639
0.06755788677860541,0.21515159069541448,0.35793913085752704,0.4421094089273855,0.5592537912608025,0.3348375589518165,0.35164480875194615,0.8503959736428901,0.35935139166845315,278.424439842472,0.02815853054066655
0.06675910082633087,0.21125018949691138,0.36260053644494056,0.44317604266552524,0.567598316734127,0.3336353103090268,0.35377541647160576,0.850409727129147,0.3593901732318172,276.9275636411062,0.028549384737687297
0.06596443283547009,0.2074081873007347,0.3671980411229071,0.444231985795322,0.5761074556321796,0.33244198562557664,0.35588091408366723,0.8504247402943182,0.35942933874088806,275.3583884325287,0.0289402389348102
0.06475029262707813,0.2037896567250601,0.3717654784664847,0.45264189105415986,0.5695483850340465,0.3226850746467951,0.3627730108012569,0.8515451293294782,0.35969457218137696,273.6799520328468,0.029331093131816574
0.06319955226066772,0.20017725396094302,0.37645299459210335,0.46527858941779826,0.5534407101734007,0.3075941370024482,0.3728269041192419,0.8537263754361216,0.3601701991862859,271.71388398378656,0.02972194732882455
0.06158676322536653,0.19642506226608403,0.38131397829997443,0.4770015959539056,0.5381202239013486,0.2930631012631019,0.3830720307274722,0.8566881356761588,0.36067419620857494,269.3897411900935,0.030112801525833056
0.062428393079949095,0.197942514233386,0.3859818563801112,0.44809099548449965,0.5659704490942837,0.3167835124219943,0.46430157020329993,0.9297904393768068,0.3536472363065537,267.1498228078191,0.03050365572278948
0.06165964842517592,0.19439685546879043,0.3902448703317019,0.4490412651352352,0.5744139806818692,0.3157045672354701,0.4670451241571697,0.9297677321980419,0.3536986257743318,265.26682265197087,0.030894509919810048
0.0608973686167541,0.19091305377923232,0.3944393706301747,0.4499808998792357,0.5830003080373527,0.3146354884532274,0.4697745740942162,0.9297459761872808,0.3537502069738389,263.33592165198445,0.031285364116830694
0.060141849462824935,0.18749097559750136,0.39856512644667796,0.4509116616154267,0.5917257407876091,0.31357431902664457,0.47249328614997244,0.9297252235417729,0.3538020484929958,261.36065098795257,0.03167621831385133
0.059393372547183576,0.18413041594191557,0.40262199136586346,0.45183522157602724,0.6005864576771784,0.3125191900095286,0.4752044896983937,0.9297055251146287,0.3538542201450374,259.3444473237182,0.032067072510871986
0.05865220534070139,0.18083110275350817,0.40660989944218734,0.45275315926581744,0.6095785154029487,0.31146832302320976,0.4779112710732429,0.92968693020904,0.3539067924636031,257.29065131772296,0.03245792670789271
0.05791860132123972,0.17759270111879022,0.4105288613126919,0.4536669618808118,0.6186978577468147,0.31042003211038255,0.48061656907938705,0.9296694863759403,0.3539598362472782,255.20250643171494,0.03284878090491342
0.0571928000996267,0.17441481737476375,0.41437896037603633,0.45457802415617815,0.6279403250174463,0.309372725037227,0.48332317207103165,0.9296532392168033,0.35401342214957326,253.08315801799992,0.033239635101934166
