Objective 2 (X),Objective 1 (Y)
0.49967670597102254,476.61948759949837
0.5028332913041651,476.6288823805908
0.5059355692850839,476.62940792145645
0.5090378472660027,476.6288823805908
0.5122241835834069,476.6073352050997
0.5156443071491615,476.0820045558087
0.5190644307149161,476.0820045558087
0.5221729726584096,476.0820045558087
0.5253399108981633,475.5351267310265
0.5284421888790821,475.11080503611095
0.5315569900860034,474.5634016704632
0.5350489542067777,473.6142748671223
0.5383847139915101,473.21202588856346
0.5418888958937502,472.1182702389992
0.544991173874669,471.1465451784358
0.5478980390651982,470.1974183750949
0.5511951189474332,469.248291571754
0.5546742543976683,467.7296886864085
0.5577890556045896,466.24409890726616
0.5612091791703442,464.8381628436722
0.5643955154877485,463.34110713381784
0.5674977934686672,461.4433790680016
0.5709179170344219,459.9027034662994
0.5740070609002648,458.42824601366743
0.5771808739916665,455.96051632498103
0.5802956751985878,453.4927866362946
0.5837157987643424,451.5503875968992
0.587135922330097,449.12680334092636
0.5902382003110158,446.2568246736812
0.5934245366284201,443.6660133142625
0.596513680494263,440.7744874715262
0.5999469381750935,436.81075315471674
0.6030360820409364,432.9690494269082
0.6062224183583407,429.5306457593897
0.6093962314497424,425.5884586180714
0.6127573431310166,420.6529992406986
0.6162364785812516,415.7175398633257
0.6195850670365233,409.8555519398344
0.6227714033539276,402.57544454450743
0.6258605472197705,393.69779802581627
0.6290471889817114,384.3963553530752
0.6321491615180935,374.5475093146863
0.6352639627250148,363.3257403189066
0.6387556214012524,351.00969013269696
0.6418322420410928,336.37053910402426
0.6452780229479258,320.191238014515
0.6483671668137687,300.53769137045083
0.6512356575463372,275.4807437622503
0.6544219938637414,242.76403803738657
0.6577580590930105,172.9535018259392
