CO2_in,CO_in,H2_in,Af,A1,A2,w,phi,N2,objective1,objective2
0.07070039928189067,0.2400863533803078,0.30347927604647906,0.533529770820697,0.7964224533223778,0.4957047519777774,0.16666599000023644,0.590228810084073,0.3857339712913225,631.8018861675868,0.051937899677666106
0.06931366485836346,0.2331288267320639,0.31228501973442474,0.5325445752331375,0.809798178657077,0.49000981079463307,0.16666599000020477,0.5946452864138462,0.3852724886751479,631.3098689128683,0.05348581535315192
0.06784961957859097,0.22683258832775438,0.3210417334525545,0.5308514413878933,0.8073252138060105,0.47655237361771124,0.16666599000019036,0.6048571049540551,0.3842760586411002,629.8102939144534,0.0550337410286155
0.06636065402077303,0.22050494298265327,0.3297495919589468,0.5299749304826896,0.8045600800908833,0.46274518311354434,0.16666599000039536,0.6149846670481489,0.3833848110376268,627.3119744676677,0.05658166670408696
0.06484712414803473,0.21414670545968412,0.33840468395486467,0.5298959857442713,0.8014775891919992,0.4485967548725427,0.16666599000083132,0.6249723980964794,0.38260148643741654,623.8335452547122,0.05812959237955825
0.0633171693117784,0.2077515063436589,0.3470036627477707,0.5305881105276171,0.798045527294976,0.4341009492037887,0.16736342077646232,0.6347784769661252,0.3819276615967921,619.3932521827352,0.05967751805503015
0.06183602842607505,0.2012789241894158,0.35552278180163127,0.5320296288083977,0.7942052888020058,0.41917305549694384,0.17441858609344388,0.6444137969937032,0.38136226558287784,614.0614302082896,0.06122544373050207
0.06033576424244895,0.194805239387473,0.3639452683818084,0.5341643874452573,0.7899635548332461,0.4039997198825258,0.18173806142168772,0.6537208706319975,0.3809137279882698,607.8964869763583,0.06277336940597401
0.058815708711450386,0.18833284633830644,0.3722700596901253,0.5369348436359802,0.7852856555774258,0.38860303848664834,0.18932491976507862,0.6626645215507384,0.3805813852601179,600.9196361761885,0.06432129508144611
0.05727495819703841,0.18186351368377743,0.38049758493028496,0.5402805093110422,0.7801320599891896,0.3730047500757376,0.19718010221126483,0.671218176138133,0.3803639431888993,593.1483297108657,0.0658692207569182
0.0559522787917441,0.17812215152582392,0.3885531754764016,0.5134887747018204,0.7854087432296234,0.3707178832346561,0.2219389044743477,0.7169352747406399,0.3773723942060303,584.8076117708835,0.0674171464323903
0.05441121134640336,0.1717424545642337,0.39647941375408663,0.5192843076104877,0.7798173942265546,0.35490061841499876,0.2322157178806844,0.7255979817324466,0.37736692033527636,575.8097611143448,0.06896507210786251
0.05284588636617448,0.16536930811009382,0.4043059814052495,0.5255000840573469,0.7736515371131716,0.33892820268656654,0.24285335219714077,0.7336881642685463,0.3774788241184822,566.0935588397813,0.07051299778333475
0.05125420041493438,0.15900043919779672,0.4120405398663334,0.5320614469926654,0.7668481468947651,0.32281608687471286,0.2538366789762488,0.74122164845785,0.3777048205209356,555.6553438532536,0.07206092345880695
0.04991554222964772,0.15493599687435558,0.41959169112348244,0.5141451564136209,0.7702198581855895,0.3177543081241583,0.29586595350571854,0.7934624990937741,0.3755567697725142,544.7886441097297,0.07360884913427915
0.04830447904225167,0.1486515261632967,0.4270191552920586,0.5229428669350376,0.7625967330252786,0.30147255261478634,0.31012193792895915,0.7999145969385005,0.37602483950239307,533.344267700628,0.0751567748097514
0.046659065364888744,0.14235825677850203,0.4343810717770813,0.5318212423406581,0.7541481571813498,0.2850737099256697,0.3247271004196283,0.8058138091855541,0.376601606079528,521.1628272984304,0.0767047004852236
0.045112088600174294,0.1369771888748978,0.44169598798790105,0.5293093115771138,0.7502773911650952,0.27317082103298684,0.3657833722726285,0.8388083837097243,0.3762147345370269,508.19726821706655,0.07825262616069587
0.045013765332207197,0.12977911073496512,0.44938362053521586,0.5293360662358353,0.7433085848239851,0.25667880339581534,0.4464667828654708,0.8958333333322833,0.37582350339761184,493.08249121797195,0.07980055183616784
0.04383452435150026,0.11750578263708111,0.4594243594945451,0.5157145636770634,0.7151588760606008,0.22159143944222473,0.48640752526121234,0.9077091327957911,0.3792353335168736,469.1384011059495,0.08134847751163983
0.04088508680630498,0.10551844238280082,0.4704946081888027,0.481590567480322,0.6780918879807255,0.18676808126803615,0.5535796579758304,0.9374999999992639,0.3831018626220915,440.4179596069516,0.08289640318711193
0.03732249495412967,0.09173217314151967,0.4829337322193306,0.4319013553309817,0.6170367682792036,0.1458774008519851,0.5865595602988461,0.9374999999998309,0.3880115996850201,405.54938233236925,0.08444432886258416
0.03277699446038753,0.07591438574403819,0.4980158065152902,0.352801446258803,0.5105896834609802,0.09855532793465951,0.7322597491287621,0.9377583984882595,0.39329281328028404,359.77723873966,0.08599225453805633
0.02693829529660664,0.05922845464437733,0.5157126563786172,0.2116475901002827,0.3019384307629613,0.044919421239974375,0.7322597491310615,0.96255805823651,0.39812059368039887,302.6992092441631,0.08754018021352843
0.021237372177495634,0.05001122597876459,0.5287514018437398,-2.803404203717621e-14,-2.0500613312232782e-14,-2.5631520117401478e-15,0.38225933913373045,0.9133026091385142,0.4,260.3979621827877,0.08908811588900074
