CH3OH_out,CO2_out,CO_out,H2_out,H2O_out,N2_out,phi_out,T_out,ndot_out
0.1656612171929819,0.042547329021660946,0.20532486957831583,0.1656612171929819,0.0009936270954130604,0.1996983651578946,0.7346629000003545,514.128033799616,0.0001323715266467106
0.1656267859735344,0.04194825610002791,0.20071240883886315,0.1656267859735344,0.0010162184235756302,0.19968803579206018,0.7334867184576351,514.1275619098996,0.00013237837389681937
0.16552256511832097,0.04134429763421535,0.19613402537283683,0.16552256511832097,0.0010393032305434718,0.1996567695354963,0.732298715096425,514.1263923590762,0.00013239910435445122
0.16534710952432913,0.04073539760826835,0.19158923768917516,0.16534710952432913,0.0010628999041579193,0.1996041328572989,0.7310983735842791,514.1245099382097,0.00013243401870692364
0.16509889749167372,0.04012148991182361,0.18707755456737313,0.16509889749167372,0.0010870278388415537,0.19952966924750207,0.7298851556781137,514.1218981841095,0.00013248344251006033
0.1647763258364067,0.039502499178539,0.18259848306469012,0.1647763258364067,0.0011117074570325754,0.19943289775092218,0.728658501658998,514.1185392932942,0.00013254772789701673
0.16437770457199843,0.03887834038660554,0.17815152732500966,0.16437770457199843,0.0011369602801944952,0.19931331137159958,0.7274178283111581,514.1144140267389,0.0001326272554647319
0.16390125111189252,0.038248918399519626,0.17373618730891385,0.16390125111189252,0.0011628090060319693,0.1991703753335678,0.7261625267090996,514.1095016045989,0.00013272243635897588
0.1633450839390569,0.037614127441282494,0.1693519574322653,0.1633450839390569,0.0011892775925697275,0.19900352518171696,0.7248919597849579,514.1037795897007,0.00013283371458201382
0.16270721568090726,0.03697385049920032,0.16499832509847565,0.16270721568090726,0.0012163913498376196,0.19881216470427215,0.7236054596433402,514.0972237584064,0.00013296156955045095
0.161985545519131,0.03632795864627658,0.16067476910752992,0.161985545519131,0.0012441770399995713,0.19859566365573925,0.7223023245854813,514.0898079572503,0.00013310651893500626
0.16117785085357247,0.035676310273849175,0.1563807579222471,0.16117785085357247,0.0012726629868750903,0.19835335525607173,0.7209818157977239,514.0815039434993,0.00013326912181886884
0.1602817781271172,0.03501875022352989,0.15211574776923784,0.1602817781271172,0.0013018791959283375,0.19808453343813537,0.7196431536511682,514.0722812074929,0.00013344998221710542
0.15929483270407993,0.03435510880562755,0.14787918054836352,0.15929483270407993,0.0013318574859464583,0.19778844981122404,0.7182855135493001,514.0621067742736,0.00013364975300647055
0.15821436767740785,0.033685200688985326,0.1436704815200679,0.15821436767740785,0.0013626316337985416,0.19746431030322237,0.7169080212481076,514.0509449816044,0.00013386914032318382
0.15703757145951658,0.03300882364448621,0.13948905673458986,0.15703757145951658,0.0013942375338635623,0.197111271437855,0.7155097475579086,514.0387572309712,0.00013410890849606735
0.15576145398696417,0.032325757121246725,0.1353342901605531,0.15576145398696417,0.0014267133739450956,0.19672843619608926,0.7140897023171885,514.025501707579,0.0001343698855942427
0.15438283133944455,0.03163576063060381,0.13120554046239322,0.15438283133944455,0.001460099829758307,0.19631484940183339,0.7126468275049287,514.0111330646229,0.0001346529696828727
0.15289830853751935,0.03093857190822247,0.12710213736622678,0.15289830853751935,0.001494440280387891,0.19586949256125602,0.7111799893279759,513.995602066246,0.00013495913589777505
0.1513042602394296,0.030233904818813023,0.12302337754153517,0.1513042602394296,0.0015297810474831396,0.19539127807182874,0.7096879690818222,513.9788551825283,0.00013528944447093036
0.14959680900313893,0.02952144696070248,0.11896851991074715,0.14959680900313893,0.0015661716613881611,0.19487904270094167,0.7081694525344141,513.9608341285311,0.00013564504986494916
0.14777180071256063,0.028800856918528888,0.11493678027958466,0.14777180071256063,0.0016036651579145623,0.19433154021376803,0.7066230175194463,513.941475337808,0.00013602721120680936
0.1458247766831158,0.02807176110105068,0.11092732515666144,0.1458247766831158,0.0016423184100651906,0.1937474330049347,0.7050471193433764,513.9207093587593,0.0001364373042513008
0.14375094185612863,0.027333750086821627,0.106939264599673,0.14375094185612863,0.0016821924997283235,0.19312528255683842,0.7034400735021316,513.8984601596759,0.00013687683515503947
0.1415451283574013,0.0265863743823215,0.10297164388523902,0.1415451283574013,0.0017233531352051194,0.19246353850722042,0.7018000350593857,513.8746443251019,0.000137347456405677
0.13920175352310407,0.025829139473743275,0.09902343374703394,0.13920175352310407,0.001765871121430576,0.19176052605693114,0.7001249738446471,513.8491701220452,0.00013785098533237636
0.13671477127269577,0.025061500023203072,0.09509351885761418,0.13671477127269577,0.0018098228909316657,0.1910144313818087,0.698412644365714,513.8219364092773,0.00013838942572859587
0.13407761541533467,0.02428285302008511,0.09118068413704361,0.13407761541533467,0.0018552911049639755,0.19022328462460034,0.6966605489665769,513.7928313560835,0.0001389649932550066
0.1312831330862975,0.023492529644838618,0.08728359834661477,0.1312831330862975,0.0019023653359129585,0.18938493992588926,0.6948658922537809,513.761730927742,0.0001395801454706334
0.12832350598408748,0.022689785530404547,0.08340079425483352,0.12832350598408748,0.001951142843964356,0.18849705179522622,0.6930255240931655,513.7284970829111,0.0001402376175809889
0.1251901563585069,0.021873789007445427,0.07953064442442065,0.1251901563585069,0.0020017294632543184,0.18755704690755207,0.691135867438769,513.6929756116966,0.00014094046531790643
0.12187363369627281,0.02104360678145633,0.07567133133137978,0.12187363369627281,0.0020542406151774343,0.1865620901088817,0.6891928257281004,513.6549935206272,0.00014169211681416686
0.11836347662500227,0.02019818629350478,0.07182081003943487,0.11836347662500227,0.002108802469162941,0.18550904298750048,0.6871916622901538,513.6143558391914,0.0001424964359639542
0.11464804248824151,0.019336333731458065,0.06797676093406226,0.11464804248824151,0.002165553273764773,0.18439441274647245,0.6851268407110503,513.5708416775044,0.0001433578006571595
0.11071429397222399,0.018456686235392157,0.06413652893507538,0.11071429397222399,0.002224644882769691,0.18321428819166716,0.6829918096132549,513.5241992988296,0.00014428120058599807
0.10654752748028845,0.017557676195867657,0.06029704392608465,0.10654752748028845,0.002286244500976938,0.18196425824408652,0.6807787064662388,513.4741398720361,0.00014527236128615854
0.10213102059089302,0.016637484531235695,0.056454714459453,0.10213102059089302,0.0023505366697742867,0.18063930617726792,0.6784779403815734,513.4203294169655,0.00014633790410411437
0.09744556397831113,0.01569397818718043,0.052605282380781306,0.09744556397831113,0.002417725498258718,0.17923366919349334,0.6760775886688281,513.3623782131936,0.00014748555661305644
0.09246882299492817,0.014724624332936828,0.048743618468140223,0.09246882299492817,0.002488037110000901,0.17774064689847838,0.6735624969882161,513.2998265410984,0.00014872443600310253
0.08717443853434612,0.013726368855594424,0.044863425710333256,0.08717443853434612,0.0025617221935632165,0.17615233156030385,0.6709128890186001,513.2321249290649,0.00015006544182898462
0.08153071081551701,0.012695457735480602,0.040956791592318104,0.08153071081551701,0.0026390583590982235,0.17445921324465496,0.668102126358675,513.1586058139602,0.00015152181976042862
0.07549857993277526,0.011627162184149609,0.03701348057971246,0.07549857993277526,0.0027203515742895276,0.17264957397983258,0.6650929130359466,513.0784410694829,0.00015311000690850602
0.06902834314968766,0.010515331171391874,0.03301975119586386,0.06902834314968766,0.0028059349154287007,0.17070850294490628,0.6618304551861292,512.990574753352,0.00015485097115129704
0.06205392005575468,0.009351609679152688,0.028956234970805676,0.06205392005575468,0.0028961601695922825,0.16861617601672643,0.6582291353514149,512.8936088368472,0.00015677248819935606
0.054481874324119,0.00812394455088463,0.02479378067487524,0.054481874324119,0.0029913699979026757,0.16634456229723568,0.65414377095104,512.7855903943824,0.0001589133849627622
0.046167751802270666,0.006813375526222259,0.02048431764903326,0.046167751802270666,0.003091811819901367,0.16385032554068135,0.6492983155058301,512.6635641061114,0.0001613324683827959
0.03685653348371764,0.005386017936939895,0.015937492613901563,0.03685653348371764,0.0031973402215673317,0.1610569600451153,0.6430684587458506,512.5224661284542,0.0001641306122839894
0.02600704055939834,0.0037699269417923167,0.01095106292113627,0.02600704055939834,0.003306024939683065,0.1578021121678195,0.6335555619983796,512.3518613028243,0.000167515992667388
0.013094884631968465,0.0019093615231447862,0.00534153484266609,0.013094884631968465,0.0034031681415925795,0.15392846538959054,0.6120722548889966,512.1396618829892,0.00017173157283091072
0.006572052372514987,0.0010042306793534626,0.0025551478641408078,0.006572052372514987,0.003463999899148801,0.1519716157117545,0.5820712983812476,512.0282494846472,0.00017394285992813972
