CO2_in,CO_in,H2_in,Af,A1,A2,w,phi,N2,objective1,objective2
0.05425752666225973,0.22428585454820793,0.4714566187895323,0.0,0.0,0.0,0.005,0.0,0.25,296.46736721904705,0.026418480824487705
0.05310538393996813,0.1986301871359635,0.49826442892406836,0.0,0.0,0.0,0.005,0.0,0.25,295.6284738478155,0.0291491208621473
0.05170110666451932,0.17669555221924557,0.5216033411162351,0.0,0.0,0.0,0.005,0.0,0.25,293.3466625264099,0.03187977089915839
0.05011395736394507,0.15779442526754558,0.5420916173685093,0.0,0.0,0.0,0.005,0.0,0.25,289.9045919958777,0.03461042093630288
0.04840242560363309,0.14138570714655693,0.5602118672498101,0.0,0.0,0.0,0.005,0.0,0.25,285.51704223385445,0.037341070973480536
0.04661389674036445,0.12704210145732617,0.5763440018023094,0.0,0.0,0.0,0.005,0.0,0.25,280.35221843838497,0.04007172101067157
0.044785870664599006,0.1144240989735858,0.5907900303618152,0.0,0.0,0.0,0.005,0.0,0.25,274.5454814341595,0.04280237104786924
0.042947579091559135,0.10326000274384928,0.6037924181645917,0.0,0.0,0.0,0.005,0.0,0.25,268.20852263805625,0.04553302108507066
0.041121555678351344,0.09333076245193657,0.6155476818697122,0.0,0.0,0.0,0.005,0.0,0.25,261.43568125179746,0.04826367112227464
0.039325005962465506,0.08445847205377538,0.6262165219837591,0.0,0.0,0.0,0.005,0.0,0.25,254.30840218672685,0.050994321159480216
0.03757094404186871,0.07649761282062043,0.6359314431375109,0.0,0.0,0.0,0.005,0.0,0.25,246.89844330437347,0.053724971196686795
0.035869109698602054,0.06932834518043282,0.6448025451209652,0.0,0.0,0.0,0.005,0.0,0.25,239.2702132861506,0.056455621233894374
0.034226695237315766,0.06285133156325137,0.6529219731994328,0.0,0.0,0.0,0.005,0.0,0.25,231.48248392695035,0.05918627127110253
0.0326489137938464,0.05698370793286793,0.6603673782732857,0.0,0.0,0.0,0.005,0.0,0.25,223.5896348415545,0.061916921308311286
0.03113943825498047,0.05165592175913136,0.6672046399858882,0.0,0.0,0.0,0.005,0.0,0.25,215.64253387434294,0.06464757134552064
0.029700735757864437,0.046809227512030226,0.6734900367301053,0.0,0.0,0.0,0.005,0.0,0.25,207.68912146685926,0.06737822138273009
0.028334318542705468,0.042393684549054976,0.6792719969082396,0.0,0.0,0.0,0.005,0.0,0.25,199.77474542801204,0.07010887141994011
0.027040928331983984,0.038366541992789195,0.6845925296752269,0.0,0.0,0.0,0.005,0.0,0.25,191.94228031703605,0.0728395214571505
0.025820668585697783,0.034690924829021794,0.6894884065852803,0.0,0.0,0.0,0.005,0.0,0.25,184.23206082119862,0.07557017149436106
0.024673096900660305,0.031334757791457835,0.693992145307882,0.0,0.0,0.0,0.005,0.0,0.25,176.68165954718793,0.07830082153157181
0.023597288327570427,0.028269880534092587,0.6981328311383371,0.0,0.0,0.0,0.005,0.0,0.25,169.32554502165598,0.08103147156878288
0.022591879245198693,0.025471320355136964,0.7019368003996643,0.0,0.0,0.0,0.005,0.0,0.25,162.1946634961049,0.08376212160599436
0.02165510039560142,0.022916698086649916,0.7054282015177488,0.0,0.0,0.0,0.005,0.0,0.25,155.31599591781944,0.08649277164320597
0.020784806500938387,0.020585749181836043,0.7086294443172256,0.0,0.0,0.0,0.005,0.0,0.25,148.71214635486714,0.08922342168041765
0.01997850837743199,0.01845994589998738,0.7115615457225807,0.0,0.0,0.0,0.005,0.0,0.25,142.4010176343812,0.09195407171762988
0.01923341159008995,0.016522208245855874,0.7142443801640542,0.0,0.0,0.0,0.005,0.0,0.25,136.39562231107573,0.09468472175484215
0.018546463564383355,0.014756691547231375,0.7166968448883853,0.0,0.0,0.0,0.005,0.0,0.25,130.70406231985848,0.09741537179205513
0.017914408935122635,0.013148637965507314,0.71893695309937,0.0,0.0,0.0,0.005,0.0,0.25,125.32969069504556,0.10014602182926807
0.01733385107892407,0.01168427856949359,0.7209818703515823,0.0,0.0,0.0,0.005,0.0,0.25,120.27144700842706,0.10287667186648085
0.016801316519197352,0.01035077247357505,0.7228479110072277,0.0,0.0,0.0,0.005,0.0,0.25,115.52433870462438,0.1056073219036961
0.0163133183612634,0.00913617029381891,0.7245505113449177,0.0,0.0,0.0,0.005,0.0,0.25,111.080026683141,0.1083379719409126
0.015866415095259677,0.008029390839089658,0.7261041940656506,0.0,0.0,0.0,0.005,0.0,0.25,106.9274671259048,0.11106862197812922
0.01545726183499757,0.00702020229142377,0.7275225358735786,0.0,0.0,0.0,0.005,0.0,0.25,103.05356265640201,0.11379927201534618
0.015082652100284642,0.006099201757173616,0.7288181461425418,0.0,0.0,0.0,0.005,0.0,0.25,99.44378285290061,0.11652992205256389
0.014739549350599257,0.005257789597091799,0.7300026610523089,0.0,0.0,0.0,0.005,0.0,0.25,96.0827245148982,0.1192605720897819
0.014425108445877483,0.004488137073961458,0.7310867544801611,0.0,0.0,0.0,0.005,0.0,0.25,92.95459345114064,0.12199122212700025
0.014136687933513097,0.0037831474356697504,0.7320801646308173,0.0,0.0,0.0,0.005,0.0,0.25,90.043599996336,0.12472187216421987
0.013871854506459324,0.003136411558128315,0.7329917339354124,0.0,0.0,0.0,0.005,0.0,0.25,87.33426881600825,0.12745252220143904
0.01362838117064667,0.0025421597788946935,0.7338294590504587,0.0,0.0,0.0,0.005,0.0,0.25,84.8116694023744,0.1301831722386589
0.013404240657448746,0.001995211679011441,0.7346005476635399,0.0,0.0,0.0,0.005,0.0,0.25,82.46157711817371,0.13291382227587936
0.013197595484086288,0.0014909254461332067,0.7353114790697806,0.0,0.0,0.0,0.005,0.0,0.25,80.27057613774583,0.135644472313101
0.013006785860941434,0.0010251481888503497,0.7359680659502081,0.0,0.0,0.0,0.005,0.0,0.25,78.22611570268155,0.13837512235032207
0.01283031641562333,0.0005941682552548922,0.7365755153291218,0.0,0.0,0.0,0.005,0.0,0.25,76.31653026635138,0.1411057723875446
0.012666842480111847,0.00019467029499781297,0.7371384872248904,0.0,0.0,0.0,0.005,0.0,0.25,74.53103276828861,0.14383642242476705
0.012336787664573676,-9.999253175000761e-9,0.7376632223346795,0.0,0.0,0.0,0.005,0.0,0.25,72.847451753954,0.1465670724619852
0.011834198455802653,-9.999764130566596e-9,0.7381658115439615,0.0,0.0,0.0,0.005,0.0,0.25,71.1816215166466,0.1492977224991966
0.011350212235914758,-9.999863681057231e-9,0.7386497977639489,0.0,0.0,0.0,0.005,0.0,0.25,69.51915096808281,0.1520283725364085
0.010883813214034043,-9.999906046561313e-9,0.739116196785872,0.0,0.0,0.0,0.005,0.0,0.25,67.85984639939764,0.15475902257362206
0.010434044271959656,-9.99992948044123e-9,0.73956596572797,0.0,0.0,0.0,0.005,0.0,0.25,66.20343937983657,0.15748967261083466
0.009999999999997266,-9.999996132974677e-9,0.7400000099999988,0.0,0.0,0.0,0.005,0.0,0.25,64.54957810366425,0.16022033264787278
