CO2_in;CO_in;H2_in;N_in;Af;A1;A2;w;phi;objective1;objective2;x10;x20;x30;x40;x50;x60;x70;x80
0.01101894769063994;0.0697805102413328;0.7692005420680273;0.15;0.9608481661940685;0.9999977611012272;0.4652023600655599;0.009999983578998532;0.41712115574983055;157.74506459746416;0.6582084385610811;0.06325759304541931;0.009546098749100134;0.027657421533754924;0.7391448447710485;0.00289806436068796;0.15749597753999156;0.6252904487977654;1.2071443574833486e-7
0.0176024676174901;0.11194376038661351;0.7204537719958964;0.15;0.9186330352607434;1.0;0.7462917394137822;0.01;0.18714817092659136;299.2743009048849;0.6477950627916341;0.1396121674606937;0.02014244652162569;0.060725689000784684;0.6408781449287286;0.002489522900968464;0.1361520291871961;0.6479768666005127;1.5557203068125183e-7
0.01847472533254052;0.11841348421089051;0.713111790456569;0.15;0.9122523695820056;1.0;0.7894232356452198;0.01;0.16695852001942166;317.37531192978906;0.6446605272954467;0.15113279202864377;0.02177188703539993;0.06639278057960657;0.6248022113197844;0.002406468384692437;0.13349386065187402;0.6513237649871818;1.5567914075084543e-7
0.019233787188942652;0.12408700594983872;0.7066792068612187;0.15;0.9066196103596524;0.9999999940187163;0.8272467013789885;0.01;0.14969159675928237;332.7347639894089;0.6415259893889932;0.16128335443116362;0.023228701034841887;0.07160769471770763;0.6104121548797061;0.002330742673740376;0.13113735226283801;0.6543091709356289;1.5550168121097155e-7
0.01991274504062378;0.12929805977524098;0.7007891951841353;0.15;0.9015290566843722;1.0;0.8619870736639053;0.01;0.13667727810826752;346.06711737283064;0.6383914544139437;0.1703389748805239;0.024559894969596752;0.07653023095831171;0.5971657829286029;0.0022597883511852957;0.12914532791177552;0.6570483879330725;1.5490029106944001e-7
0.02052968525500092;0.13401673993148178;0.6954535748135173;0.15;0.89689861972535;1.0;0.8934449417639828;0.01;0.12457061265131661;357.82312525759943;0.6352569180292721;0.17856547554852434;0.025790397838068673;0.08119285853769186;0.5849717127067291;0.0021940265239375964;0.12728552884504643;0.6595784052999678;1.5431735502650364e-7
0.021098771383551884;0.13841041604907034;0.6904908125673778;0.15;0.8926283218664086;1.0;0.9227361161793409;0.01;0.11447435759940905;368.3107079634664;0.6321223816257229;0.1860731902978499;0.02694094019991288;0.08567255056322652;0.5735699049330745;0.0021320753204373136;0.12561133868549704;0.6619512143868875;1.5362325787878676e-7
0.021629620805647936;0.1425492522910931;0.6858211269032591;0.15;0.888654995448633;1.0;0.9503283579890192;0.01;0.10638171990785829;377.75166132080534;0.6289878452088088;0.19295899866548807;0.028025577550590212;0.09001294656544039;0.5628254492581583;0.0020733539096045124;0.12410367405071868;0.6641974044943639;1.528375291898153e-7
0.022128545238215263;0.14644180891680583;0.681429645844979;0.15;0.8849447711226058;1.0;0.976278734999688;0.01;0.09935770175462438;386.3110153710712;0.625853308725358;0.1993205585353195;0.029053581820814606;0.09422843887349763;0.5526811861701544;0.0020177763391153523;0.12269845826110011;0.6663322605826103;1.5205578702143818e-7
0.02257490514558448;0.14867757890971756;0.678747515944698;0.15;0.8823267527330392;0.9999999980701685;0.99118385748531;0.0050068805258234525;0.04796234499678916;394.17377379722626;0.622718770964009;0.20761398731267972;0.03000024890987474;0.09667443510655634;0.5434275900071776;0.0019803671181431123;0.12030337154557241;0.6679009084062506;1.5374750358006895e-7
0.023325932514390177;0.15209806326170022;0.6745760042239097;0.15;0.8796287705049873;0.9862058613776122;1.0;0.005;0.030111267383924764;400.49435759785695;0.6195842343308869;0.21264057933527958;0.03130350942360533;0.09980311723144875;0.5342491254170691;0.001966053259740131;0.1200376153328624;0.6664544516310319;1.533933373805154e-7
0.023727115957063092;0.15622112702079752;0.6700517570221394;0.15;0.877037512366942;0.9601774379672967;1.0;0.005;0.030084148740956804;405.62107163237397;0.616449697917264;0.21654713875868137;0.03211052988274626;0.10318987820256775;0.5252629746959048;0.0019168064117332502;0.1209726720483733;0.6680091785507101;1.5273729653719419e-7
0.024116279675175142;0.16011454505746653;0.6657691752673582;0.15;0.8746096443335681;0.9368293263898702;1.0;0.005;0.028080412277870264;410.35918787288745;0.6133151615646797;0.2202269905861555;0.03289166341410409;0.10649911086812612;0.5167036664237658;0.0018702773997037185;0.12180829130814415;0.6694967692319254;1.521809215432317e-7
0.02449386037158366;0.16384131205940605;0.6616648275690102;0.15;0.8723135836315128;0.9155200211628729;1.0;0.005;0.026077728125660636;414.74793011525617;0.6101806251097116;0.22367178903978668;0.03364816192863181;0.10976083453525225;0.5084974675831346;0.0018257486335622995;0.12259599827962907;0.6709470347109812;1.5166992787839255e-7
0.024862929512424685;0.16741690798082867;0.6577201625067468;0.15;0.8701404682595862;0.895966860505254;1.0;0.005;0.024076700496683073;418.82075453859636;0.6070460887173219;0.22690056150287558;0.034384664851889735;0.11297813798689016;0.500613802622163;0.001783227272701498;0.12333960576352658;0.6723470615004837;1.5119959025359865e-7
0.025225071342912096;0.1708869277256716;0.6538880009314164;0.15;0.8680625854542698;0.8777734113078818;1.0;0.005;0.02405434334355093;422.60706130840276;0.6039115522932408;0.22989832944910107;0.035103764266241;0.11617937157412425;0.4930013541859962;0.0017422953857238676;0.12407488513880925;0.6737109973293933;1.5073122972786326e-7
0.025578938698637657;0.17420213936753481;0.6502189219338276;0.15;0.8661102039938655;0.8610686523623897;1.0;0.005;0.022055277743288988;426.1313312197654;0.6007770159445223;0.23274325518674427;0.03580407844297702;0.11932387357848764;0.48568896942531237;0.0017032498107027658;0.12473657355577666;0.6750317955409706;1.503341384660041e-7
0.025927338353146964;0.17743333341409281;0.6466393282327604;0.15;0.8642393433833696;0.8453879471658702;1.0;0.005;0.022035042189981868;429.4153739988455;0.5976424794824978;0.2353838838542408;0.036489679634249816;0.12246085406295923;0.4786082781402254;0.0016655549148632289;0.12539174939346376;0.6763237649316619;1.4993608675851694e-7
0.026268872883189548;0.1805338701615077;0.6431972569553028;0.15;0.862480999599105;0.8308690295223236;1.0;0.005;0.020037731694801084;432.47838804557085;0.5945079430751699;0.23789679614251202;0.037159150339544346;0.12554751088028795;0.47178489095478754;0.0016294843692666522;0.12598216731360065;0.6775782387745334;1.4960006145165152e-7
0.026606272310084136;0.18356632278989887;0.6398274049000171;0.15;0.8607933806470223;0.817143358416968;1.0;0.005;0.020019189979560387;435.3370200847866;0.5913734066691039;0.24022666919941602;0.03781631081674589;0.12863313513190966;0.46516253818813164;0.0015945967882795551;0.12656674987551406;0.6788075943257427;1.49261500231538e-7
0.026937820795350786;0.18648731906699276;0.6365748601376565;0.15;0.8592078831571437;0.8043442430790416;1.0;0.005;0.01802330886982232;438.00613318287856;0.5882388702620392;0.2424486129849716;0.03845931417998515;0.13167328672034795;0.45876328799682425;0.0015611175308122551;0.12709438058705722;0.6800042639551812;1.489771578925051e-7
0.027266156990606992;0.1893525379554057;0.6333813050539874;0.15;0.8576842785448486;0.7921731766407759;1.0;0.005;0.018006214394707693;440.49930550972095;0.5851043338566876;0.24450485385418197;0.03909175815865943;0.13471790033576697;0.4525407609842959;0.001528677664864415;0.12761604900222992;0.6811797734972459;1.4868966523472206e-7
0.027590552958437674;0.19214357978891167;0.6302658672526507;0.15;0.8562368579405024;0.780666216713095;1.0;0.005;0.017989829231248356;442.827849421545;0.5819697974495194;0.246435567382263;0.03971296998146238;0.1377451038933366;0.44650041957275827;0.0014973550119400322;0.12810858415824325;0.6823308269560081;1.484251925623038e-7
