CO2_in,CO_in,H2_in,Af,A1,A2,w,phi,N2,objective1,objective2
0.07589220369301256,0.25382197703073606,0.27028581927625145,0.0,0.0,0.0,0.005,0.0,0.4,273.7184686321806,0.020236014981187742
0.0749201697068458,0.24862193911030395,0.27645789118285036,0.0,0.0,0.0,0.005,0.0,0.4,273.6241425072911,0.02061494206172016
0.07393730461549272,0.2434388226040618,0.28262387278044554,0.0,0.0,0.0,0.005,0.0,0.4,273.3432993664113,0.02099387914151771
0.07294414864157665,0.2382756974053145,0.2887801539531088,0.0,0.0,0.0,0.005,0.0,0.4,272.8792533610442,0.021372816221477714
0.07194121160897887,0.23313539030130534,0.2949233980897158,0.0,0.0,0.0,0.005,0.0,0.4,272.2354343159945,0.021751753301478265
0.07092899752456752,0.2280206155464268,0.3010503869290057,0.0,0.0,0.0,0.005,0.0,0.4,271.4153720869458,0.022130690381495115
0.06990800374548228,0.22293396917590327,0.3071580270786146,0.0,0.0,0.0,0.005,0.0,0.4,270.4226813402863,0.02250962746152002
0.06887872020024471,0.2178779244748699,0.3132433553248854,0.0,0.0,0.0,0.005,0.0,0.4,269.261046861275,0.0228885645415496
0.06784162867070377,0.21285482855348278,0.3193035427758135,0.0,0.0,0.0,0.005,0.0,0.4,267.93420948086083,0.023267501621582143
0.06679720213987242,0.2078668999690718,0.3253358978910558,0.0,0.0,0.0,0.005,0.0,0.4,266.4459526957402,0.02364643870161648
0.06574590420907786,0.20291622732941578,0.3313378684615064,0.0,0.0,0.0,0.005,0.0,0.4,264.8000900411415,0.0240253757816522
0.06468818858642685,0.1980047688062566,0.33730704260731653,0.0,0.0,0.0,0.005,0.0,0.4,263.00045326166367,0.02440431286168898
0.06362449864735546,0.19313435248496785,0.3432411488676767,0.0,0.0,0.0,0.005,0.0,0.4,261.0508813124524,0.024783249941726423
0.06255526706700797,0.18830667747479068,0.34913805545820137,0.0,0.0,0.0,0.005,0.0,0.4,258.9552102112571,0.025162187021764457
0.06148091552334946,0.1835233157039988,0.3549957687726518,0.0,0.0,0.0,0.005,0.0,0.4,256.71726375153565,0.02554112410180295
0.06040185446925659,0.17878571432559362,0.36081243120514983,0.0,0.0,0.0,0.005,0.0,0.4,254.34084507787594,0.025920061181841793
0.05931848297135279,0.17409519866152742,0.3665863183671199,0.0,0.0,0.0,0.005,0.0,0.4,251.8297291175688,0.026298998261880903
0.05823118861302985,0.1694529756167456,0.3723158357702246,0.0,0.0,0.0,0.005,0.0,0.4,249.18765585621037,0.026677935341920353
0.05714034745893967,0.16486013749846445,0.37799951504259593,0.0,0.0,0.0,0.005,0.0,0.4,246.4183244407339,0.027056872421959893
0.05604632407821673,0.160317666180808,0.3836360097409753,0.0,0.0,0.0,0.005,0.0,0.4,243.52538809019399,0.02743580950199955
0.054949471623825734,0.15582643756019782,0.3892240908159764,0.0,0.0,0.0,0.005,0.0,0.4,240.51244979297752,0.027814746582039397
0.05385013196568353,0.1513872262525003,0.39476264178181625,0.0,0.0,0.0,0.005,0.0,0.4,237.38305876880702,0.028193683662079395
0.05274863587560232,0.14700071048887312,0.4002506536355246,0.0,0.0,0.0,0.005,0.0,0.4,234.1407076749399,0.028572620742119453
0.05164530326264377,0.14266747717347125,0.405687219563885,0.0,0.0,0.0,0.005,0.0,0.4,230.78883053838808,0.028951557822159666
0.05054044345815271,0.13838802707255307,0.41107152946929426,0.0,0.0,0.0,0.005,0.0,0.4,227.33080139972228,0.0293304949021999
0.04943435555058401,0.1341627801111379,0.41640286433827817,0.0,0.0,0.0,0.005,0.0,0.4,223.7699336592549,0.02970943198224024
0.04832732877126896,0.12999208076022312,0.421680590468508,0.0,0.0,0.0,0.005,0.0,0.4,220.1094801231421,0.030088369062280625
0.047219642933501234,0.12587620350465667,0.4269041535618422,0.0,0.0,0.0,0.005,0.0,0.4,216.3526337554161,0.030467306142321005
0.04611156892882067,0.1218153583892604,0.4320730726819191,0.0,0.0,0.0,0.005,0.0,0.4,212.50252915238426,0.0308462432223615
